Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
4.03,3.74,0,73.3,100,Weekend,Saturday,Light_Load
4.14,0,25.6,100,15.96,Weekend,Sunday,Medium_Load
2.81,4.72,0,51.15,100,Weekend,Sunday,Light_Load
27.76,21.31,0,79.32,100,Weekend,Sunday,Light_Load
3.6,0,17.42,100,20.24,Weekday,Wednesday,Medium_Load
39.56,34.92,0,74.97,100,Weekday,Friday,Light_Load
2.81,4.39,0,53.91,100,Weekday,Tuesday,Light_Load
3.64,0,16.67,100,21.33,Weekend,Sunday,Medium_Load
47.59,21.71,0,90.98,100,Weekday,Monday,Light_Load
2.77,4.9,0,49.21,100,Weekday,Friday,Light_Load
2.95,0,10.01,100,28.27,Weekend,Sunday,Light_Load
2.99,2.23,0.04,80.16,99.99,Weekend,Sunday,Light_Load
68.04,53.5,0,78.61,100,Weekday,Friday,Medium_Load
73.55,31.46,0,91.94,100,Weekday,Friday,Medium_Load
60.8,52.85,0,75.47,100,Weekday,Tuesday,Maximum_Load
4.93,0,15.59,100,30.15,Weekday,Wednesday,Medium_Load
68.51,26.89,0,93.09,100,Weekday,Tuesday,Medium_Load
13.5,0,19.12,100,57.68,Weekday,Monday,Medium_Load
41.29,30.71,0,80.24,100,Weekday,Monday,Maximum_Load
5.51,6.7,0,63.52,100,Weekday,Wednesday,Light_Load
2.99,5,0,51.32,100,Weekday,Friday,Light_Load
103.5,39.35,0,93.47,100,Weekday,Thursday,Maximum_Load
3.67,7.34,0,44.72,100,Weekday,Tuesday,Medium_Load
96.3,38.95,0,92.7,100,Weekday,Friday,Maximum_Load
4.03,2.99,0.32,80.31,99.69,Weekday,Wednesday,Maximum_Load
31.5,0.04,6.98,100,97.63,Weekend,Sunday,Maximum_Load
114.26,49.07,0,91.88,100,Weekday,Tuesday,Maximum_Load
73.4,46.26,0,84.6,100,Weekday,Monday,Medium_Load
3.31,5.18,0,53.85,100,Weekday,Tuesday,Light_Load
80.03,29.88,0,93.68,100,Weekday,Friday,Medium_Load
65.3,41.44,0.32,84.43,100,Weekday,Monday,Medium_Load
2.66,3.96,0,55.76,100,Weekend,Saturday,Light_Load
55.08,26.46,0.04,90.14,100,Weekday,Friday,Medium_Load
108.79,37.55,0,94.53,100,Weekday,Friday,Maximum_Load
55.19,25.34,0,90.88,100,Weekday,Monday,Maximum_Load
60.52,29.02,0,90.17,100,Weekday,Thursday,Medium_Load
2.66,5.11,0,46.17,100,Weekday,Tuesday,Light_Load
93.6,45.07,0,90.1,100,Weekday,Monday,Maximum_Load
3.49,0,18,100,19.03,Weekday,Monday,Medium_Load
4.54,3.67,0,77.77,100,Weekday,Thursday,Medium_Load
5.18,0,9,100,49.88,Weekend,Saturday,Light_Load
7.02,4.97,0,81.62,100,Weekday,Friday,Light_Load
57.24,23.54,0,92.48,100,Weekday,Thursday,Maximum_Load
3.92,3.17,0.11,77.76,99.96,Weekday,Friday,Light_Load
50.4,28.62,0,86.96,100,Weekday,Tuesday,Maximum_Load
36.22,3.1,2.77,99.64,99.71,Weekday,Thursday,Medium_Load
3.96,1.3,9.94,95.01,37.01,Weekend,Sunday,Light_Load
39.13,7.49,0,98.22,100,Weekday,Tuesday,Maximum_Load
89.35,39.42,0,91.49,100,Weekday,Friday,Medium_Load
2.74,3.64,0,60.14,100,Weekend,Sunday,Light_Load
5.51,0,26.06,100,20.69,Weekday,Thursday,Medium_Load
27.86,5.8,8.75,97.9,95.41,Weekday,Tuesday,Maximum_Load
2.56,5.47,0,42.39,100,Weekday,Tuesday,Light_Load
28.37,7.27,0.4,96.87,99.99,Weekday,Monday,Medium_Load
2.7,5.22,0,45.94,100,Weekday,Tuesday,Light_Load
66.1,50.87,0,79.25,100,Weekday,Friday,Maximum_Load
5.72,4.79,0,76.67,100,Weekday,Monday,Light_Load
3.67,3.74,0,70.04,100,Weekday,Monday,Medium_Load
7.99,3.92,0,89.78,100,Weekday,Tuesday,Light_Load
4.46,8.03,0.11,48.56,99.97,Weekday,Thursday,Medium_Load
3.24,0,12.92,100,24.32,Weekday,Monday,Light_Load
2.95,4.5,0,54.83,100,Weekday,Friday,Light_Load
31.25,0,8.42,100,96.56,Weekday,Monday,Medium_Load
3.17,5.18,0,52.2,100,Weekend,Saturday,Light_Load
57.46,30.2,0,88.52,100,Weekday,Tuesday,Maximum_Load
6.48,5.47,0,76.41,100,Weekend,Saturday,Light_Load
3.35,4.82,0,57.07,100,Weekday,Friday,Light_Load
3.31,6.26,0,46.74,100,Weekend,Sunday,Light_Load
4.68,4.75,0,70.18,100,Weekday,Thursday,Light_Load
103.21,67,0,83.88,100,Weekday,Wednesday,Light_Load
33.05,22.75,3.6,82.37,99.41,Weekday,Wednesday,Maximum_Load
3.06,0,16.45,100,18.29,Weekend,Sunday,Light_Load
52.09,28.51,0,87.72,100,Weekday,Tuesday,Medium_Load
36.07,5,0.14,99.05,100,Weekday,Thursday,Medium_Load
83.66,42.05,0,89.35,100,Weekday,Monday,Maximum_Load
2.77,0,6.12,100,41.23,Weekend,Saturday,Light_Load
3.06,5.4,0,49.3,100,Weekend,Saturday,Light_Load
55.01,18.9,0,94.57,100,Weekday,Monday,Medium_Load
4.18,3.2,0.14,79.4,99.94,Weekday,Thursday,Light_Load
6.95,5,0,81.18,100,Weekend,Saturday,Light_Load
32.9,29.12,0,74.88,100,Weekday,Tuesday,Light_Load
4.97,2.27,0.07,90.96,99.99,Weekday,Friday,Light_Load
22.9,23.36,0,70,100,Weekend,Sunday,Light_Load
4.28,0,20.52,100,20.42,Weekend,Saturday,Light_Load
83.88,23.51,0,96.29,100,Weekday,Friday,Maximum_Load
4.28,0,20.99,100,19.98,Weekend,Saturday,Light_Load
3.42,6.95,0,44.15,100,Weekend,Sunday,Light_Load
46.33,26.82,0,86.54,100,Weekday,Friday,Maximum_Load
5.72,4.54,0,78.33,100,Weekday,Monday,Light_Load
3.17,0,12.96,100,23.76,Weekend,Sunday,Light_Load
4.14,3.06,0.29,80.42,99.76,Weekday,Tuesday,Light_Load
3.13,3.89,0,62.69,100,Weekday,Thursday,Light_Load
2.88,5.11,0,49.1,100,Weekday,Friday,Light_Load
4.1,3.2,0.22,78.83,99.86,Weekday,Thursday,Light_Load
4.18,0,22.14,100,18.55,Weekend,Saturday,Light_Load
3.78,0,24.73,100,15.11,Weekend,Sunday,Medium_Load
2.74,4.86,0,49.11,100,Weekend,Sunday,Light_Load
68.36,36.97,0,87.96,100,Weekday,Tuesday,Medium_Load
113.29,50.76,0,91.26,100,Weekday,Friday,Light_Load
3.67,4.64,0,62.04,100,Weekday,Monday,Light_Load
3.42,0,17.89,100,18.78,Weekday,Monday,Medium_Load
36.36,4.5,1.08,99.24,99.96,Weekend,Saturday,Maximum_Load
3.56,0,17.75,100,19.66,Weekday,Monday,Light_Load
4.64,5.65,0,63.47,100,Weekday,Tuesday,Light_Load
2.74,4.36,0,53.21,100,Weekend,Sunday,Light_Load
25.56,12.02,7.2,90.49,96.25,Weekday,Monday,Maximum_Load
4.61,4.86,0,68.82,100,Weekday,Friday,Light_Load
29.92,10.98,0,93.88,100,Weekend,Sunday,Maximum_Load
80.96,36.97,0,90.96,100,Weekday,Tuesday,Medium_Load
2.88,5.51,0,46.32,100,Weekday,Monday,Light_Load
3.31,4.43,0,59.86,100,Weekend,Saturday,Light_Load
56.09,19.69,0.04,94.36,100,Weekday,Friday,Medium_Load
4.21,5.83,0,58.54,100,Weekend,Sunday,Light_Load
3.42,0,14.87,100,22.41,Weekend,Saturday,Light_Load
3.92,4.36,0,66.86,100,Weekend,Saturday,Light_Load
5.15,0,17.78,100,27.82,Weekday,Wednesday,Medium_Load
3.67,0,17.35,100,20.69,Weekend,Saturday,Light_Load
103.82,45.5,0,91.59,100,Weekend,Saturday,Maximum_Load
4.68,3.74,0,78.12,100,Weekend,Saturday,Light_Load
3.96,0,24.05,100,16.25,Weekend,Sunday,Medium_Load
2.59,4.43,0,50.47,100,Weekday,Tuesday,Light_Load
4.25,7.99,0,46.96,100,Weekday,Thursday,Light_Load
25.02,0.83,1.3,99.95,99.87,Weekend,Saturday,Medium_Load
3.53,0,17.82,100,19.43,Weekday,Monday,Medium_Load
3.02,0,14.72,100,20.1,Weekend,Sunday,Light_Load
3.53,4.25,0,63.89,100,Weekday,Thursday,Light_Load
3.24,0,17.75,100,17.96,Weekend,Sunday,Light_Load
25.31,0,12.31,100,89.93,Weekday,Friday,Medium_Load
29.38,0,11.99,100,92.59,Weekday,Monday,Medium_Load
3.02,4.9,0,52.47,100,Weekday,Wednesday,Light_Load
60.12,39.96,0,83.28,100,Weekday,Friday,Medium_Load
25.31,1.51,1.98,99.82,99.7,Weekday,Monday,Medium_Load
3.06,3.71,0,63.63,100,Weekday,Friday,Light_Load
101.41,39.35,0,93.23,100,Weekday,Tuesday,Maximum_Load
3.42,6.88,0,44.51,100,Weekday,Tuesday,Medium_Load
28.91,0,8.46,100,95.98,Weekend,Saturday,Medium_Load
2.84,0,4.79,100,51,Weekend,Sunday,Light_Load
2.99,3.92,0,60.65,100,Weekday,Tuesday,Light_Load
5.54,0,10.15,100,47.91,Weekend,Saturday,Light_Load
56.02,57.28,0,69.92,100,Weekday,Thursday,Light_Load
2.77,0,13.97,100,19.45,Weekend,Saturday,Medium_Load
3.13,0,11.84,100,25.56,Weekend,Sunday,Medium_Load
53.57,32.18,0,85.72,100,Weekday,Thursday,Light_Load
3.46,3.24,0,72.99,100,Weekend,Saturday,Light_Load
3.35,3.85,0,65.64,100,Weekend,Sunday,Light_Load
40.14,24.34,1.66,85.51,99.91,Weekday,Tuesday,Maximum_Load
2.66,3.53,0,60.18,100,Weekday,Tuesday,Light_Load
69.48,30.78,0,91.43,100,Weekday,Tuesday,Medium_Load
79.6,43.13,0,87.92,100,Weekday,Thursday,Medium_Load
103.1,38.56,0,93.66,100,Weekday,Thursday,Medium_Load
9.61,0,25.6,100,35.14,Weekday,Wednesday,Medium_Load
46.55,43.31,0,73.21,100,Weekend,Saturday,Light_Load
31.07,15.62,0.5,89.34,99.99,Weekday,Friday,Medium_Load
110.23,56.52,0,88.98,100,Weekday,Tuesday,Maximum_Load
62.78,37.76,0,85.69,100,Weekend,Saturday,Light_Load
2.59,4.5,0,49.88,100,Weekend,Saturday,Light_Load
122.8,58.9,0,90.16,100,Weekday,Tuesday,Light_Load
3.78,4.03,0,68.41,100,Weekday,Tuesday,Light_Load
3.71,0,14.69,100,24.49,Weekend,Sunday,Light_Load
81.9,55.22,0,82.91,100,Weekday,Tuesday,Maximum_Load
3.89,0,26.39,100,14.58,Weekend,Sunday,Medium_Load
4,0,18.04,100,21.65,Weekday,Tuesday,Medium_Load
114.01,41.15,0,94.06,100,Weekday,Wednesday,Maximum_Load
3.46,1.62,14.33,90.56,23.47,Weekend,Sunday,Light_Load
6.44,0,7.88,100,63.28,Weekend,Saturday,Maximum_Load
5.87,0,25.85,100,22.14,Weekday,Tuesday,Medium_Load
57.42,30.2,0,88.51,100,Weekday,Thursday,Maximum_Load
2.59,0,12.13,100,20.88,Weekday,Tuesday,Light_Load
4.07,0,26.24,100,15.33,Weekend,Saturday,Medium_Load
56.12,26.75,0,90.27,100,Weekday,Monday,Maximum_Load
2.74,0,17.53,100,15.44,Weekday,Wednesday,Light_Load
5.18,0,26.17,100,19.42,Weekend,Saturday,Medium_Load
56.92,57.92,0,70.09,100,Weekday,Friday,Light_Load
3.17,0,17.06,100,18.27,Weekend,Sunday,Light_Load
2.81,0,5.36,100,46.43,Weekend,Saturday,Light_Load
82.33,26.03,0,95.35,100,Weekday,Monday,Medium_Load
3.35,0,18.18,100,18.12,Weekday,Friday,Medium_Load
3.13,0,12.96,100,23.48,Weekend,Saturday,Light_Load
66.24,29.52,0,91.34,100,Weekday,Thursday,Maximum_Load
3.1,5.15,0,51.57,100,Weekend,Saturday,Light_Load
29.3,29.02,0,71.05,100,Weekend,Sunday,Light_Load
4.39,0,21.38,100,20.11,Weekday,Wednesday,Medium_Load
114.12,58.86,0,88.87,100,Weekday,Monday,Maximum_Load
24.12,5.33,5.44,97.64,97.55,Weekend,Saturday,Maximum_Load
33.84,0.36,3.38,99.99,99.5,Weekend,Sunday,Maximum_Load
83.7,23.72,0,96.21,100,Weekday,Wednesday,Medium_Load
4.54,4.32,0,72.44,100,Weekday,Wednesday,Light_Load
3.92,4.54,0,65.35,100,Weekday,Thursday,Light_Load
3.13,5.51,0,49.39,100,Weekend,Sunday,Light_Load
4.72,4.46,0,72.68,100,Weekday,Tuesday,Light_Load
6.8,0,25.88,100,25.41,Weekday,Wednesday,Medium_Load
45.22,10.62,0.14,97.35,100,Weekday,Wednesday,Medium_Load
2.56,3.74,0,56.48,100,Weekend,Sunday,Light_Load
2.74,4.79,0,49.65,100,Weekday,Monday,Light_Load
3.06,0,10.98,100,26.85,Weekend,Sunday,Light_Load
4.03,0,14.51,100,26.76,Weekend,Saturday,Light_Load
42.34,15.55,0,93.87,100,Weekend,Saturday,Maximum_Load
3.42,2.38,0.04,82.08,99.99,Weekday,Wednesday,Light_Load
3.82,3.31,0.07,75.58,99.98,Weekend,Saturday,Light_Load
6.34,0,19.37,100,31.11,Weekday,Wednesday,Medium_Load
3.49,0,4.57,100,60.69,Weekday,Monday,Light_Load
3.35,6.48,0,45.92,100,Weekday,Monday,Light_Load
4.61,2.23,0.25,90.02,99.85,Weekday,Wednesday,Light_Load
69.77,36.58,0,88.57,100,Weekday,Wednesday,Maximum_Load
3.92,3.49,0,74.69,100,Weekend,Sunday,Light_Load
4.03,7.27,0,48.48,100,Weekend,Sunday,Medium_Load
4,3.85,0,72.05,100,Weekday,Thursday,Light_Load
3.06,3.6,0,64.76,100,Weekend,Sunday,Light_Load
114.59,57.02,0,89.53,100,Weekday,Monday,Maximum_Load
3.28,2.27,0.11,82.23,99.94,Weekend,Sunday,Light_Load
3.31,0,16.7,100,19.44,Weekend,Saturday,Medium_Load
3.24,4.36,0,59.65,100,Weekday,Friday,Light_Load
3.17,4.82,0,54.95,100,Weekday,Thursday,Light_Load
3.06,3.78,0,62.92,100,Weekend,Sunday,Light_Load
3.2,2.7,0.04,76.43,99.99,Weekend,Sunday,Light_Load
5.15,0,25.56,100,19.75,Weekend,Sunday,Light_Load
3.49,0,17.53,100,19.53,Weekend,Sunday,Light_Load
3.85,0,17.35,100,21.66,Weekday,Friday,Medium_Load
4.61,0,17.46,100,25.53,Weekday,Friday,Medium_Load
68.62,38.92,0.14,86.98,100,Weekday,Thursday,Maximum_Load
4.64,5.33,0,65.66,100,Weekday,Monday,Light_Load
2.95,0,12.02,100,23.84,Weekend,Sunday,Light_Load
3.85,4.43,0,65.6,100,Weekday,Wednesday,Light_Load
3.13,5.11,0,52.23,100,Weekend,Saturday,Light_Load
43.56,21.85,0,89.39,100,Weekday,Tuesday,Maximum_Load
55.48,21.74,0,93.11,100,Weekday,Wednesday,Medium_Load
3.24,3.85,0,64.39,100,Weekday,Monday,Light_Load
2.52,4.28,0,50.74,100,Weekday,Tuesday,Light_Load
60.23,34.38,0,86.85,100,Weekday,Friday,Medium_Load
3.02,3.82,0,62.02,100,Weekday,Tuesday,Light_Load
3.46,3.13,0,74.16,100,Weekend,Sunday,Light_Load
4.25,3.96,0,73.16,100,Weekday,Monday,Light_Load
52.63,31.97,0,85.47,100,Weekday,Monday,Light_Load
2.74,4.39,0,52.95,100,Weekday,Wednesday,Light_Load
51.37,10.37,0,98.02,100,Weekday,Friday,Medium_Load
4.36,0,16.42,100,25.66,Weekday,Friday,Medium_Load
3.64,0,21.24,100,16.89,Weekday,Thursday,Light_Load
6.84,0.76,12.71,99.39,47.39,Weekday,Monday,Medium_Load
4.1,0,18.86,100,21.24,Weekend,Saturday,Light_Load
99.11,33.41,0,94.76,100,Weekday,Tuesday,Maximum_Load
101.38,37.22,2.3,93.87,99.97,Weekday,Friday,Medium_Load
2.92,0,5.04,100,50.13,Weekend,Sunday,Light_Load
55.44,25.09,0,91.1,100,Weekday,Friday,Medium_Load
3.38,0,14.9,100,22.12,Weekend,Saturday,Light_Load
59,38.48,0,83.76,100,Weekday,Tuesday,Maximum_Load
3.2,4.64,0,56.77,100,Weekday,Wednesday,Light_Load
2.88,3.02,0,69.01,100,Weekday,Monday,Light_Load
3.92,0,24.41,100,15.86,Weekday,Wednesday,Light_Load
41.47,4.64,0.72,99.38,99.98,Weekday,Thursday,Medium_Load
51.73,27.76,0,88.11,100,Weekday,Tuesday,Maximum_Load
2.74,3.6,0,60.56,100,Weekend,Saturday,Light_Load
37.3,10.15,0,96.49,100,Weekday,Thursday,Maximum_Load
4.1,3.89,0,72.54,100,Weekend,Saturday,Light_Load
61.74,25.85,0,92.24,100,Weekday,Monday,Medium_Load
38.12,41.11,0,67.99,100,Weekday,Monday,Light_Load
2.95,4.25,0,57.02,100,Weekday,Tuesday,Light_Load
2.52,4.1,0,52.36,100,Weekday,Tuesday,Light_Load
3.78,6.91,0,47.99,100,Weekday,Thursday,Medium_Load
3.38,6.26,0,47.51,100,Weekend,Sunday,Light_Load
31.1,29.7,0,72.32,100,Weekend,Sunday,Light_Load
64.87,31.5,0,89.96,100,Weekday,Thursday,Maximum_Load
4.54,0,16.24,100,26.92,Weekday,Monday,Medium_Load
58.86,33.37,0,86.99,100,Weekday,Tuesday,Medium_Load
52.02,7.06,0.72,99.09,99.99,Weekday,Wednesday,Medium_Load
113.44,60.52,0,88.23,100,Weekday,Friday,Maximum_Load
2.92,4.5,0,54.43,100,Weekday,Monday,Light_Load
3.13,2.99,0,72.31,100,Weekend,Sunday,Light_Load
48.02,5.9,0,99.25,100,Weekday,Friday,Maximum_Load
2.66,5.76,0,41.93,100,Weekday,Monday,Light_Load
4.07,0,17.17,100,23.06,Weekday,Thursday,Medium_Load
75.28,31,0,92.47,100,Weekday,Thursday,Maximum_Load
5.94,5.44,0,73.75,100,Weekday,Wednesday,Light_Load
29.09,24.37,0,76.66,100,Weekday,Friday,Light_Load
6.66,5.26,0,78.48,100,Weekday,Tuesday,Light_Load
4.75,4.75,0,70.71,100,Weekday,Monday,Light_Load
63.86,25.49,0,92.87,100,Weekday,Wednesday,Medium_Load
2.92,5.33,0,48.05,100,Weekend,Saturday,Light_Load
3.02,3.06,0,70.24,100,Weekday,Wednesday,Light_Load
3.71,0,6.08,100,52.09,Weekend,Saturday,Medium_Load
3.74,3.53,0,72.72,100,Weekend,Sunday,Light_Load
22.46,3.2,6.37,99,96.21,Weekend,Saturday,Maximum_Load
3.42,4.57,0,59.92,100,Weekday,Thursday,Light_Load
2.88,2.81,0,71.58,100,Weekday,Monday,Light_Load
3.49,6.48,0,47.42,100,Weekday,Thursday,Medium_Load
28.37,2.16,7.52,99.71,96.66,Weekday,Monday,Medium_Load
2.88,5.62,0,45.61,100,Weekday,Monday,Light_Load
3.06,3.67,0,64.04,100,Weekday,Monday,Light_Load
2.92,5.94,0,44.12,100,Weekday,Friday,Light_Load
29.23,19.91,0.07,82.65,100,Weekend,Saturday,Light_Load
3.71,7.49,0,44.39,100,Weekday,Thursday,Light_Load
3.71,3.31,0,74.62,100,Weekend,Saturday,Light_Load
49.43,2.95,1.91,99.82,99.93,Weekday,Wednesday,Medium_Load
3.35,0,13.57,100,23.97,Weekday,Monday,Light_Load
58.9,37.87,0,84.11,100,Weekday,Wednesday,Maximum_Load
5.18,8.32,0,52.85,100,Weekday,Thursday,Light_Load
4.93,3.71,0,79.9,100,Weekend,Sunday,Light_Load
2.81,4.86,0,50.05,100,Weekday,Wednesday,Light_Load
6.26,0,18.22,100,32.49,Weekday,Wednesday,Medium_Load
3.06,0,13.93,100,21.46,Weekend,Sunday,Medium_Load
3.31,3.78,0,65.88,100,Weekday,Wednesday,Medium_Load
4.75,0,9.47,100,44.83,Weekend,Sunday,Maximum_Load
117.18,49.5,0,92.12,100,Weekday,Thursday,Medium_Load
3.28,4.36,0,60.12,100,Weekend,Saturday,Light_Load
62.5,20.99,0,94.8,100,Weekend,Saturday,Medium_Load
3.49,0,16.78,100,20.36,Weekend,Sunday,Medium_Load
4.14,3.96,0,72.26,100,Weekend,Saturday,Light_Load
30.06,0,4.93,100,98.68,Weekend,Saturday,Maximum_Load
28.69,0.22,2.77,100,99.54,Weekday,Friday,Medium_Load
55.87,26.89,0,90.11,100,Weekday,Monday,Medium_Load
81.79,32.51,0,92.93,100,Weekday,Wednesday,Maximum_Load
3.56,5.26,0,56.05,100,Weekday,Wednesday,Light_Load
3.2,4.07,0,61.81,100,Weekday,Monday,Light_Load
51.73,13.82,0,96.61,100,Weekday,Wednesday,Maximum_Load
2.66,4.93,0,47.48,100,Weekday,Monday,Light_Load
4.07,6.37,0,53.84,100,Weekday,Friday,Light_Load
3.67,0,26.39,100,13.77,Weekday,Friday,Medium_Load
2.59,4.97,0.04,46.21,99.99,Weekend,Sunday,Light_Load
3.24,3.38,0.22,69.2,99.77,Weekday,Monday,Light_Load
136.3,56.99,0,92.26,100,Weekday,Thursday,Medium_Load
3.71,3.2,0.04,75.72,99.99,Weekday,Wednesday,Light_Load
3.64,5.15,0,57.72,100,Weekend,Saturday,Light_Load
56.95,35.17,0,85.08,100,Weekday,Friday,Maximum_Load
39.74,43.02,0,67.85,100,Weekday,Monday,Light_Load
3.35,0,14.08,100,23.15,Weekday,Monday,Light_Load
52.78,58.28,0,67.13,100,Weekday,Thursday,Light_Load
3.49,0,13.1,100,25.74,Weekend,Saturday,Medium_Load
3.13,4.18,0,59.94,100,Weekday,Tuesday,Light_Load
8.86,3.67,0.04,92.39,100,Weekday,Friday,Light_Load
71.03,33.37,0,90.51,100,Weekday,Monday,Medium_Load
4.82,0,24.59,100,19.24,Weekend,Sunday,Light_Load
52.06,30.82,0,86.05,100,Weekday,Tuesday,Medium_Load
3.13,2.09,0.18,83.16,99.84,Weekend,Sunday,Light_Load
3.92,0,20.74,100,18.57,Weekend,Saturday,Light_Load
4.1,0,16.78,100,23.74,Weekend,Sunday,Light_Load
4.61,4.68,0,70.18,100,Weekday,Friday,Light_Load
4.25,3.82,0,74.37,100,Weekday,Monday,Light_Load
101.48,50.36,0,89.58,100,Weekday,Thursday,Maximum_Load
2.84,0,10.51,100,26.09,Weekday,Monday,Light_Load
4,0,26.6,100,14.87,Weekend,Saturday,Medium_Load
4.72,4.93,0,69.16,100,Weekday,Tuesday,Light_Load
45.58,4.39,0.04,99.54,100,Weekday,Friday,Maximum_Load
2.66,4.64,0,49.73,100,Weekday,Tuesday,Light_Load
31.68,0.36,7.09,99.99,97.59,Weekday,Thursday,Medium_Load
3.64,3.96,0,67.67,100,Weekday,Tuesday,Light_Load
3.17,5.98,0,46.84,100,Weekday,Thursday,Light_Load
2.81,5.83,0,43.42,100,Weekend,Saturday,Light_Load
3.96,6.62,0,51.34,100,Weekend,Saturday,Light_Load
2.77,5.04,0,48.17,100,Weekday,Thursday,Light_Load
102.46,34.09,0,94.89,100,Weekday,Monday,Medium_Load
3.78,0,8.35,100,41.24,Weekday,Wednesday,Medium_Load
2.88,0,4.64,100,52.74,Weekday,Friday,Light_Load
68.04,48.38,0,81.5,100,Weekday,Friday,Light_Load
3.74,7.49,0,44.67,100,Weekend,Saturday,Light_Load
7.31,0,22.68,100,30.68,Weekday,Friday,Medium_Load
87.8,32.51,0,93.78,100,Weekday,Friday,Medium_Load
139.39,58.9,0,92.11,100,Weekday,Monday,Maximum_Load
37.08,27.29,0,80.54,100,Weekday,Tuesday,Light_Load
48.06,24.23,0,89.29,100,Weekday,Friday,Maximum_Load
2.92,4.43,0,55.03,100,Weekday,Monday,Light_Load
89.39,56.88,0,84.37,100,Weekday,Thursday,Maximum_Load
51.12,50.8,0,70.93,100,Weekday,Friday,Light_Load
2.77,5.58,0,44.46,100,Weekday,Thursday,Light_Load
36.4,26.06,0,81.31,100,Weekday,Tuesday,Light_Load
93.85,34.45,0,93.88,100,Weekday,Thursday,Medium_Load
24.44,25.42,0,69.31,100,Weekday,Monday,Maximum_Load
3.06,5.83,0,46.47,100,Weekday,Wednesday,Light_Load
3.67,6.23,0,50.76,100,Weekday,Thursday,Light_Load
2.81,5.62,0,44.72,100,Weekday,Thursday,Light_Load
3.35,3.82,0,65.93,100,Weekday,Tuesday,Light_Load
4.32,0,21.71,100,19.52,Weekend,Sunday,Light_Load
3.24,2.34,0.11,81.07,99.94,Weekday,Friday,Light_Load
37.01,7.24,0,98.14,100,Weekend,Sunday,Medium_Load
105.73,74.16,0,81.87,100,Weekday,Thursday,Light_Load
35.75,27.94,0,78.79,100,Weekday,Thursday,Light_Load
41.58,31.39,0,79.81,100,Weekday,Tuesday,Light_Load
70.02,38.05,0,87.86,100,Weekday,Monday,Maximum_Load
92.81,39.02,0,92.18,100,Weekday,Wednesday,Medium_Load
56.77,19.73,0,94.46,100,Weekday,Monday,Medium_Load
112.93,52.81,0,90.58,100,Weekday,Monday,Maximum_Load
3.31,6.52,0,45.27,100,Weekday,Wednesday,Light_Load
65.66,35.32,0,88.07,100,Weekday,Tuesday,Medium_Load
3.28,0,13.79,100,23.14,Weekend,Sunday,Light_Load
4.68,4.79,0,69.88,100,Weekday,Thursday,Light_Load
56.74,20.77,0,93.91,100,Weekday,Friday,Light_Load
2.66,4.21,0,53.41,100,Weekday,Wednesday,Light_Load
34.27,3.71,1.84,99.42,99.86,Weekend,Saturday,Maximum_Load
5.29,5.58,0,68.8,100,Weekday,Wednesday,Light_Load
3.2,0,16.92,100,18.58,Weekday,Tuesday,Light_Load
3.38,5.58,0,51.81,100,Weekday,Thursday,Light_Load
3.74,6.08,0,52.39,100,Weekday,Wednesday,Light_Load
21.28,0.76,16.78,99.94,78.52,Weekday,Monday,Medium_Load
3.6,0,15.37,100,22.81,Weekend,Sunday,Light_Load
4.9,0,16.2,100,28.95,Weekday,Friday,Medium_Load
3.02,5.76,0,46.44,100,Weekend,Saturday,Light_Load
61.56,22.14,5.4,94.1,99.62,Weekday,Monday,Maximum_Load
98.35,20.84,0.36,97.83,100,Weekday,Tuesday,Maximum_Load
90.07,39.89,0,91.43,100,Weekday,Friday,Maximum_Load
3.06,1.87,0.4,85.33,99.16,Weekday,Wednesday,Light_Load
80.1,65.7,0,77.32,100,Weekday,Tuesday,Light_Load
50.36,20.88,0,92.37,100,Weekday,Monday,Maximum_Load
3.38,0,17.5,100,18.96,Weekend,Sunday,Medium_Load
3.46,5.47,0,53.46,100,Weekday,Thursday,Medium_Load
3.89,3.06,0.22,78.6,99.84,Weekday,Friday,Light_Load
3.06,5.83,0,46.47,100,Weekday,Wednesday,Light_Load
64.51,33.59,0,88.7,100,Weekday,Monday,Maximum_Load
4,6.19,0,54.27,100,Weekday,Monday,Light_Load
2.77,3.85,0,58.4,100,Weekend,Saturday,Light_Load
60.19,39.67,0,83.5,100,Weekday,Friday,Light_Load
4.97,0,27.07,100,18.06,Weekend,Sunday,Light_Load
90.79,46.73,0,88.91,100,Weekday,Tuesday,Maximum_Load
94.97,44.64,0,90.5,100,Weekday,Friday,Maximum_Load
34.7,0.58,5.94,99.99,98.57,Weekday,Friday,Medium_Load
4,5.15,0,61.34,100,Weekday,Thursday,Light_Load
2.95,4.61,0,53.9,100,Weekday,Thursday,Light_Load
3.1,2.59,0,76.74,100,Weekend,Saturday,Light_Load
64.91,67.97,0,69.06,100,Weekday,Wednesday,Light_Load
4.46,5.18,0,65.25,100,Weekday,Monday,Light_Load
2.56,4.46,0,49.78,100,Weekend,Sunday,Light_Load
37.62,25.99,0,82.28,100,Weekday,Friday,Maximum_Load
3.74,4.64,0,62.76,100,Weekday,Tuesday,Light_Load
2.77,5.94,0,42.26,100,Weekend,Saturday,Light_Load
